SP_density,Gaussian_sigma,FCM,PFCM,C-KPFCM
0.01,0.01,0.7465,0.6777,0.7624
0.01,0.03,0.7207,0.5479,0.7345
0.01,0.05,0.6120,0.5289,0.6075
0.01,0.07,0.5433,0.5171,0.5232
0.03,0.01,0.7454,0.6492,0.7509
0.03,0.03,0.7234,0.5513,0.7233
0.03,0.05,0.6156,0.5311,0.6346
0.03,0.07,0.5403,0.5190,0.5174
0.05,0.01,0.7316,0.6062,0.7401
0.05,0.03,0.6984,0.5510,0.7138
0.05,0.05,0.6100,0.5307,0.6261
0.05,0.07,0.5360,0.5188,0.5135
0.07,0.01,0.6903,0.6162,0.7263
0.07,0.03,0.6686,0.5422,0.7000
0.07,0.05,0.6015,0.5273,0.6166
0.07,0.07,0.5314,0.5165,0.5175
